排名,UP主,UP主头像,标题,视频链接,封面图,作品分布ip,作品类别,评论数量,播放量,点赞数量,弹幕数量
48,泛式,https://i0.hdslb.com/bfs/face/2608aaa45309c77ac88fbfaa40e160b8c7892985.jpg,看完4月新番，我无地自容！羞愧难当！【泛式】,https://b23.tv/BV1LZ421E7mS,http://i2.hdslb.com/bfs/archive/83a807e37597e50605455d70900879ff3c1952a7.jpg,上海,动漫杂谈,10787,2086823,259032,5249
49,MrBeast官方账号,https://i1.hdslb.com/bfs/face/d85295bc576e059c1a549d89d405f22311571898.jpg,【MrBeast官方】给你10分钟内逃离否则房间将爆炸!,https://b23.tv/BV15Z421E7fo,http://i1.hdslb.com/bfs/archive/6371130e5aa2ac9eb13257ff335757e1e3061a4f.jpg,北京,日常,2430,1068727,92745,916
50,_张天琪,https://i0.hdslb.com/bfs/face/8ebbf4fc358baf9ded623dc113ca92cc431843de.jpg,今天赶海真是收获满满呀～,https://b23.tv/BV1Vi421y7AT,http://i0.hdslb.com/bfs/archive/3e92c237c3dabb542236d3ca9a0a5db0c4668dd3.jpg,上海,搞笑,556,593354,89106,642
51,小甜饼pomogisebe,https://i1.hdslb.com/bfs/face/6bec2039f6429effd00d12ad8e8095c3322720b6.jpg,谁不是感情里的演员，____________ 。,https://b23.tv/BV1Ji421k7xk,http://i2.hdslb.com/bfs/archive/5161cb853bdb2cc087966164e8626364b9c678a5.jpg,上海,仿妆cos,407,439190,145362,1452
52,害羞7,https://i0.hdslb.com/bfs/face/7cc4c22029b6ec322cbc56cf3118d7749355fb64.jpg,水母抓路人跳晚安大小姐,https://b23.tv/BV1vx4y1q7G4,http://i2.hdslb.com/bfs/archive/00fde790882202519775d2c1c6486e6a8f65ccad.jpg,上海,日常,232,654926,58829,585
53,穿毛裤的小拉泽,https://i0.hdslb.com/bfs/face/023c69a89a95db1b7991a024c0806d2ed7e58021.jpg,外卖备注：我真饿了爸爸！结果收到后太炸裂了！！,https://b23.tv/BV1Ub42187FQ,http://i1.hdslb.com/bfs/archive/f82229648558a49d189198e70869ad74866cf02f.jpg,山东,美食测评,4025,1379535,57645,1662
54,奇啊是我,https://i1.hdslb.com/bfs/face/547dfd036073e09408830f025a1a5be8898f182b.jpg,天使:ban虫子!,https://b23.tv/BV1Cw4m1C79u,http://i2.hdslb.com/bfs/archive/24c50796d9f0ac84706e465521d41d529430618c.jpg,山东,电子竞技,846,762463,79571,418
55,青木雄太,https://i0.hdslb.com/bfs/face/b6f9e4d8e6a3e483a007d4a83830ce12fd2a52ea.jpg,漫 展 采 访【 星铁嘉年华（中）】,https://b23.tv/BV14f421U7s4,http://i2.hdslb.com/bfs/archive/91433f47400a23825b1432198cc58c27e74e6026.jpg,未知,搞笑,460,868473,120703,464
56,基本祐利_,https://i2.hdslb.com/bfs/face/2dbf5b34ff7fa8d240c192c026721987a10b079e.jpg,在贵州见了真正的我的菜(˃̣̣̣̣︿˂̣̣̣̣ ) 8块钱的豆豉火锅特别特别特别好吃 所以我特别难过了 呜呜呜 在南京可以开一个吗  大家都来吃吧！,https://b23.tv/BV1ZH4y1V7ZG,http://i1.hdslb.com/bfs/archive/838cacbf9a35d1db8da776c06798575df82af898.jpg,江苏,日常,1034,1090067,111686,1890
57,直面泰山,https://i1.hdslb.com/bfs/face/14be2422bae56ebd0b99276dbc0c835b5442b76e.jpg,发明人：黑魂加里奥 发明项目：直面泰山,https://b23.tv/BV1Q14216761,http://i2.hdslb.com/bfs/archive/3a3e6a42e1831c0ac122f92e7de59e7beb1119cf.jpg,湖南,网络游戏,397,879456,78325,443
58,人民网,https://i0.hdslb.com/bfs/face/4b5468ab22ee0ba672f070def7ed55986c581a4a.jpg,如果科学解释不了，那就交给爱吧❤️,https://b23.tv/BV1ut421F75o,http://i2.hdslb.com/bfs/archive/ff5b8be627119e35c21ce5eb33af63d675bc6ea5.png,,日常,182,699001,146864,1518
59,大陌DM的奇异世界,https://i0.hdslb.com/bfs/face/ea7cca125c413d97a9457bfcc2964acb1a01b4f3.jpg,电脑到手后玩家必备的软件-雪藏HsFreezer 游戏暂停器  随停随玩不等待!你没用的船新版本,https://b23.tv/BV19H4y137hx,http://i2.hdslb.com/bfs/archive/df721a56e8700534e04840cfa518c53a15f5a978.jpg,广西,数码,307,780356,49349,1458
60,落九川,https://i1.hdslb.com/bfs/face/c79a4d736236255643ed2ca51a8475d38a2c8bc0.jpg,不敢去漫展 怕有女bt,https://b23.tv/BV1fr421E7Wf,http://i2.hdslb.com/bfs/archive/8535da688019d10b3d48e659609116a0e229d489.jpg,江苏,搞笑,592,1175177,67557,919
61,骆驼新星,https://i0.hdslb.com/bfs/face/8ac50e5cfc1d8d7b2ae41305d97a98e65e7e2cb6.jpg,每天都给它们做美食 反而对我疑心重重 以为我要害它,https://b23.tv/BV1X4421f7XJ,http://i1.hdslb.com/bfs/archive/58ed5e8a703b962ceb28d1b440e96fb4a3bd1734.jpg,新疆,动物综合,2007,983069,133284,1287
62,渤海小吏,https://i1.hdslb.com/bfs/face/60d7ec1a95e5f85e8e5b2c1d49656cbcff176604.jpg,宇宙大将军为什么带800败兵就能颠覆南国？,https://b23.tv/BV1YT42197EF,http://i2.hdslb.com/bfs/archive/9181a4c42254d9db8104922b5755fc6427c782bd.jpg,天津,人文历史,4577,552250,41137,2143
63,陶阿狗君,https://i1.hdslb.com/bfs/face/709f5e580d6dfb6862b485999fe9babe1ce74a4a.jpg,在美女和阿狗之间，选择做我自己,https://b23.tv/BV14r421E7Gn,http://i2.hdslb.com/bfs/archive/b21a6250a30508bd2b3dd7aa2faaf3504fdd5f16.jpg,广东,穿搭,464,473829,99246,517
64,乔乔和夫夫,https://i0.hdslb.com/bfs/face/b57ca61dabc302b80dec0ba2195628eac85fb4a4.jpg,《超公平情侣》,https://b23.tv/BV1MT421971m,http://i1.hdslb.com/bfs/archive/28f068ef248342e3ea939cc0ce8797d0f8be08b2.jpg,广东,小剧场,266,1075365,141991,663
65,俄罗斯夫妇在中国,https://i0.hdslb.com/bfs/face/99cea6f488b292d79f2d2b979271cba4cf50f1df.jpg,很想知道他当时脑子里在想什么,https://b23.tv/BV1Gs421T7gi,http://i1.hdslb.com/bfs/archive/9e5fe2817a6a3949d4f0feafb1ea4d5f15a2a414.png,河北,亲子,240,823782,147668,652
66,自在道末,https://i0.hdslb.com/bfs/face/ae955565abbf1fec9dc98e18e393d43acade4340.jpg,要不要来玩,https://b23.tv/BV1eM4m1Z7DS,http://i1.hdslb.com/bfs/archive/ff328e518cb8b42476580a6eac8a02bf15841785.jpg,江西,日常,287,708735,113107,1182
67,KerryDowdle,https://i1.hdslb.com/bfs/face/394117ea25e0c267ec167d5c4a435951b56534f2.jpg,我可能是车展里唯一一个不在地上趴着的外国人,https://b23.tv/BV1R142167k5,http://i2.hdslb.com/bfs/archive/8ab8662b6896004323b97bcb1004e9daa31dc056.jpg,泰国,日常,2282,1049163,43909,1625
68,猪宝子在门口,https://i1.hdslb.com/bfs/face/bb3cd873c00c06813e89b7ec2c95305d3ff5af5b.jpg,旅行中的《家庭调情》,https://b23.tv/BV1Nb421h7HE,http://i1.hdslb.com/bfs/archive/d759d231d3aa613e4e33e5edd4a45bcda0690f89.jpg,福建,搞笑,223,806297,135932,644
69,张煜东East,https://i1.hdslb.com/bfs/face/9ce89ecb800253e732261f19925f2f6fb6c7117c.jpg,花了上百万！用4斤重的黄金亲手制作求婚信物！,https://b23.tv/BV11C411E7Km,http://i1.hdslb.com/bfs/archive/fdf3167345bd628266c381b87af16ffa4669c1b0.jpg,北京,手工,1451,427581,50327,1298
70,对话中的暂停,https://i2.hdslb.com/bfs/face/742b4acc37b5c18adb1abcdb27cbd4b6dee3cfb4.jpg,那里的毛毛怎么剪?,https://b23.tv/BV1Hm421H77s,http://i2.hdslb.com/bfs/archive/394542f595c8f1ef707d2f2a3f4d8b63fd6fde91.jpg,上海,短片,292,577055,101000,1541
71,钮祜禄-安舒,https://i2.hdslb.com/bfs/face/4a21d3c3d3027007fcbdacc8e205ceb6098d5f6e.jpg,跟它爹一个死出,https://b23.tv/BV17M4m1d7uN,http://i0.hdslb.com/bfs/archive/3455671c0a5088a30268a29ed416b8a5429acff0.jpg,安徽,动物二创,247,1059843,157005,554
72,米花设计,https://i0.hdslb.com/bfs/face/1bb59fa5c8fa9ebf36d7f5d8d6de258c2a5b7b9a.jpg,Ps技巧｜给嘴唇自然上色,https://b23.tv/BV1Gx4y1q7BQ,http://i1.hdslb.com/bfs/archive/3a71ead63575f7e8772292ed9f9b0c14b6180805.jpg,天津,设计·创意,177,621138,70411,578
73,皮小浪呀,https://i1.hdslb.com/bfs/face/b9ce678e41a9fc05ee00682575b94fe90b99cd72.jpg,蓝色妖姬你不爱 别去渣女身上找存在,https://b23.tv/BV1Fr421g7dq,http://i0.hdslb.com/bfs/archive/f0702cdccbc917d76ee103bce3edeee868439c8b.jpg,四川,搞笑,829,782566,130538,1024
74,狗の石,https://i2.hdslb.com/bfs/face/ec40657e66ab3f20655f18829cdfc8b0eaf22c48.jpg,上课就该睡觉！,https://b23.tv/BV18f421U7CF,http://i0.hdslb.com/bfs/archive/accedabb6b59e189c43995e40f1445fb2e0adf2d.jpg,印度尼西亚,搞笑,951,525533,103894,1053
75,八零九零音乐,https://i1.hdslb.com/bfs/face/b777b5e9ecad31a57a48110abda0bb4e269f115d.jpg,8090后当年就是吃了多少细糠，才看不上现在的新歌,https://b23.tv/BV1JT421Q73i,http://i2.hdslb.com/bfs/archive/21af1c650a97c2433406131c5c5a2370fee0d01d.jpg,四川,音乐综合,8328,1189943,21893,3544
76,黑翼罗少,https://i1.hdslb.com/bfs/face/d3cf08a19ea80d97f10d6aa574c140ee4eba4f7c.jpg,植物大战僵尸（中文东北味）,https://b23.tv/BV1Yz421U76j,http://i2.hdslb.com/bfs/archive/aeb02833f72d5b67ba68d8d40200360b6cc0dee5.jpg,黑龙江,配音,436,963336,111659,491
77,斯嘉紫,https://i1.hdslb.com/bfs/face/05a0d554c8added3fdd3304aec04379060941251.jpg,班主任：我这结义是结了个啥？,https://b23.tv/BV1Zx4y1q7JD,http://i2.hdslb.com/bfs/archive/811a054e729d14f6d362dbb8e5f8063b49fee315.jpg,重庆,小剧场,252,546232,91237,206
78,影视飓风,https://i0.hdslb.com/bfs/face/c1733474892caa45952b2c09a89323157df7129a.jpg,【现场视频】M4芯片的iPad Pro，摸到了！,https://b23.tv/BV1oC41177MH,http://i0.hdslb.com/bfs/archive/50606bb9032028bedf69452e57e26368857e8f01.jpg,浙江,日常,1747,890674,61376,2731
79,暗阳花-夏,https://i2.hdslb.com/bfs/face/10769edf0a640ad0ba03e8695e5ebf278b72830a.jpg,【知更鸟】欢迎来到我的世界,https://b23.tv/BV1hm421H7Vg,http://i1.hdslb.com/bfs/archive/5f23ee2157c7d27b38755b99b9a36d8b99ff26d2.jpg,北京,短片·手书,135,408393,119280,492
80,指尖灬旋律丿,https://i1.hdslb.com/bfs/face/e93724a6acb29837834963c7b7488cba7c06af7e.jpg,《提 瓦 特 联 播》这音色也太合适了！！晚风圆号、诗琴演奏新闻联播开场+ED,https://b23.tv/BV1Br421E736,http://i2.hdslb.com/bfs/archive/9ba77ee87f9587ab2d5048e1558620459943b15d.jpg,甘肃,手机游戏,874,537444,65057,1383
